Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Isle of Mann Group / MLA - Ellery,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $11,770
Initial Launch Date: 2021-11-01
Province: British Columbia


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 22
Initial Launch Date: 2021-11-01
Onboarding Contact: Jamey Castle (MLA)
First time using Avesdo? No
Competitors, CRMs, other software being used? n/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: Sarah Rasheed is on Mat Leave - Jamey will be the main Onboarding Contact for MLA",,Released,Released,10-Dec-21,,22
Vertex | Avenue 33,,,,"
Project Revenue: $20,825
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-06-14
Onboarding Contact: Craig Anderson
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Sorry I'm not sure.
Current process outside Avesdo? Paper
Major problems we're solving? Helping their business become more efficient. Help them sell more efficiently.
What does success mean for the client? A seamless transition to a new way of running their business.
Additional comments: Patrick and Ross loved the system, Magnum is the selling company should be an easy set up with lots of runway till launch.",,Released,Released,09-Sep-21,,49
Rennie - ASH | 28,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 12
Deal Owner: Malinka Ruminski
Initial Launch Date: 2023-05-15
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: justin, reuben, claire, katerina
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: townhome
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: contracts + api
What is client's goal from Avesdo? contracts + api
Why Avesdo? contracts + api
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,07-Jun-23,,12
Wesgroup - Reign North Tower,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $107,100
Province: British Columbia
# of Homes: 357
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2024-03-11
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Donna Cheung
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,08-Mar-24,,357
Interchange North,Roell Pereira,,Apcon Group/Fifth Ave,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $21,775.00
Province: British Columbia
# of Homes: 67
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2026-04-16
Sales/Marketing Company: Fifth Ave

Contact Details
Onboarding Contact: Yvonne
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? TBD
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? TBD (confirm with client)
CRM/Lead Ingestion: ?
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: This being put through at CS' request as the project is being split into two separate buildings",,Not started,Not started,,,67
Latimer Heights | Vesta Properties,,,,,,Released,Released,23-Oct-19,,
Mountain Creations - Prosper,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: Yes
Deal Value: $30,875
Initial Launch Date: 2022-01-14
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 65
Initial Launch Date: 2022-01-14
Onboarding Contact: Jordyne Toor  and Natalie Costanzino
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Others
Current process outside Avesdo? Paper
Major problems we're solving? Admin and contract management
What does success mean for the client? ???
Additional comments: ",,Released,Released,10-Mar-22,,65
UD South ,,,,,,Released,Released,17-Jul-19,,
Amacon | Vue,,,,"
Project Revenue: $88,800
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-06-01
Onboarding Contact: Cathy & Tanya
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? efficiency on a large tower, ability to manage their sales team remote (Cathy is based out of Alberta). Pricing was also a factor on their last project (Alaska), New pricing fits better with Amacon's process  
What does success mean for the client? N/A
Additional comments: Project launching in Q3",,Released,Released,16-Jul-21,,296
Aragon - Timber House,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $26,970
Province: British Columbia
# of Homes: 87
Deal Owner: Sammy Wong
Initial Launch Date: 2023-04-01
Development Proposal Stage: Working of DS
Sales/Marketing Company: In-House, Selling in-house

Contact Details
Onboarding Contact: c
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: pending confirmation
Project Set-Up: Grid view (Combined tower/townhomes)
Setting up Leads? Yes
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? NA
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: No API. Mainly usingMaster Report
Related Projects/Relevant Info: Coombined quote with Oakwood and WAdams Farm

Client Goals/Other Information
Competitors, CRMs, other software being used? Lasso for CRM
Why Buy/Challenges we are solving: REduce Errors
What is client's goal from Avesdo? Reducing Errors with a tool(Avesdo) they are famililar with
Why Avesdo? Familar 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,13-May-23,,87
Mosaic - Trailside/Lynn Lot 4,Elton Paul,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $16,470.00
Province: British Columbia
# of Homes: 61
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-03-14
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Mandeep Brar

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? TBD
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot I believe
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: ",,Released,Released,02-May-25,,61
Reliance Properties | Two Burrard,,,,"Onboarding contact: shaylene@magnumprojects.ca

Project Revenue: $77,675
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-05-20
Onboarding Contact: Kristen Bull (Magnum) for now
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso I believe for CRM
Current process outside Avesdo? Paper!
Major problems we're solving? Going paperless, helping  them write deals faster.
What does success mean for the client? A smooth transition to this new way of doing business.
Additional comments: I will need to firm up the launch date with Magnum",,Released,Released,28-Jun-21,,207
"Plazacorp Urban Residential Communities - Yonge at Wellesley Station
 (20 Maitland Street Condos)",,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $17,570
Initial Launch Date: 2022-06-01
Province: Ontario


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 45
Initial Launch Date: 2022-06-01
Onboarding Contact: Phoebe Lam
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? They are wanting to take FULL advantage of the platform including the Sales features for 1 complete process
Additional comments: We need to provide additional training on Sales features with a focus on Worksheets",,Released,Released,03-Jun-22,,502
Innovation District Building 11,,,Tien Sher/Stryke,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $30,000.00
Province: British Columbia
# of Homes: 120
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2034-08-11
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Waseem Baluch

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: None that I know of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,11-Aug-34,,120
Denver 2,Roell Pereira,,Amacon USA,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $59,228
Province: Colorado
# of Homes: 192
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-03-14
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Marie Le
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,,,192
Lakestone,Roell Pereira,,Macdonald Development Corp.,"
Project Revenue: $28,500
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-04-16
Onboarding Contact: Cindy Leung
First time using Avesdo? Yes
Competitors, CRMs, other software being used? None that I am aware of
Current process outside Avesdo? Manual; paper and excel.
Major problems we're solving? Looking to streamline contract process, enable online sales for out of town clients
What does success mean for the client? Decent pace of sales, operational efficiencies and revenue maximization
Additional comments: Land deals.  Therefore, no condo disclosure but may have other documents like architectural controls. Customer was made aware that some aspects of system won't be customizable like the term ""unit"" instead of ""lot"". Still, may be a surprise.

Set up 75 priority list units to be made available for purchasers to put a reservation on. There are 14 premium lots.

The reservation fee will be set at $10,000.00

Realtor commission to be set at 0, so that they can edit this on a per deal basis.",,Awaiting Docs/Info,Indefinitely Delayed,,,57
Ivylea Phase 2 | Marlin Spring ,,,,,,Released,Released,17-Oct-20,,
Vesta Properties - Latimer (Phase 6),,,,,,Released,Released,01-Feb-21,,
ML Emporio - Oak & Onyx,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $51,900
Initial Launch Date: 2021-07-30


KYC Survey:
Deal Owner: Jake Shatz
Initial Launch Date: 2021-07-30
Onboarding Contact: Alex Holme (Key Marketing)
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: This will be the first of the 3 projects (July launch)",,Released,Released,16-Jul-21,,173
BlockC Condos/Fenway - Caliber Projects/Breakside,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $70,015.00
Province: British Columbia
# of Homes: 209
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-05-10
Development Proposal Stage: 
Sales/Marketing Company: Breakside

Contact Details
Onboarding Contact: Amy Rebodos
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,21-Sep-24,,209
Marlin Spring - Curio (801 The Queensway),,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $62,100
Initial Launch Date: 2022-03-01
Province: Ontario


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 207
Initial Launch Date: 2022-03-01
Onboarding Contact: Mae
First time using Avesdo? No
Competitors, CRMs, other software being used? They use Spark as a CRM and Newstar for ERP
Current process outside Avesdo? Avesdo
Major problems we're solving? Consistency on reporting for all stakeholders
What does success mean for the client? N/A
Additional comments: They will be using worksheets for this project ",,Released,Released,07-Jun-22,,207
Rennie - 1818 Alberni,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: Ontario
# of Homes: 54
Deal Owner: Malinka Ruminski
Initial Launch Date: 2023-02-21
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Roell
First time using Avesdo? Yes
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: condo
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce
Why Buy/Challenges we are solving: seamless contracting system, integration via api
What is client's goal from Avesdo? contracts, through api flow info into salesforce
Why Avesdo? best in class contracting system
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,28-Feb-23,,54
The Centre | Belford Properties ,,,,,,Released,Released,13-Oct-17,,
Block 3,Rashi Gupta,,Stone Creek Resorts,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $40,500.00
Province: Alberta
# of Homes: 100
Deal Owner: Sandor Segal
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-03-10
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Tyler Baptist
Onboarding Contact Email: 

Set-Up Details
Credit Cards? Yes
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? TBD
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Hubspot

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,100
Landa Global Properties - Lucent ,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: Yes
Deal Value: $101,000
Initial Launch Date: 2022-03-01
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 404
Initial Launch Date: 2022-03-01
Onboarding Contact: Torah Chang
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Use our LEADS
Current process outside Avesdo? Left Rennie --going ih house
Major problems we're solving? Leads to Closing single platform
What does success mean for the client? Supporting their in-house initiative
Additional comments: ",,Released,Released,02-Feb-23,,404
Rennie - Pierwell,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $11,700
Province: British Columbia
# of Homes: 36
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2024-01-11
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: KAterina Wong
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,05-Apr-24,,36
Conwest - Grace Westside (Ash + 30th),,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $25,026
Initial Launch Date: 2022-05-27
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 43
Initial Launch Date: 2022-05-27
Onboarding Contact: Craig Anderson - Magnum, Jason Wong - Conwest
First time using Avesdo? Yes
Competitors, CRMs, other software being used? None
Current process outside Avesdo? They have been using docusign
Major problems we're solving? Client is scaling their business and is looking for a solution that could potential work in other areas of their real estate development, like their commercial projects. They need a more effecient, digital process. They employ sales and marketing companies for their residential projects (MLA and Magnum), but want to remain in control of their data and their processes.
What does success mean for the client? Success on this project would be a clean set up process, Magnum is selling this project so I have included a contact at Magnum and Conwest.
Additional comments: I am marking the trust account as no for now. They seemed unsure, it might be used in the future.",,Released,Released,30-Jun-22,,43
Peridot,Roell Pereira,,Rennie,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $810,000
Province: British Columbia
# of Homes: 27
Deal Owner: Malinka Ruminski
Account Manager: Malinka
Initial Launch Date: 2024-03-01
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Katerina Wong
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,Indefinitely Delayed,,,27
Allure Ventures - Skyliving,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $99,375.00
Province: British Columbia
# of Homes: 375
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-04-27
Development Proposal Stage: 
Sales/Marketing Company: Key Marketing

Contact Details
Onboarding Contact: Polly Cordwell with Key Marketing and Lori D'Andrea with Allure Ventures
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,21-Jun-24,,375
Fortune District,,,Living Realty,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $45,000
Province: Ontario
# of Homes: 150
Deal Owner: Sandor Segal
Initial Launch Date: 
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: 
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? 

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,,,150
Rennie - Brentwood Block,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $146,575
Province: British Columbia
# of Homes: 451
Deal Owner: Malinka Ruminski
Account Manager: Malinka
Initial Launch Date: 2024-04-01
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Katerina Wong
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,18-Sep-24,,451
National Homes | The Vale,,,,,,Released,Released,22-May-21,,111
Anthem Properties Group - Baden Park - Seymour by Anthem,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $15,300
Province: British Columbia
# of Homes: 102
Deal Owner: Steve Curtis
Initial Launch Date: 2022-08-15
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact:  Chalaine Soon or Angela Quan
First time using Avesdo?  No
Customer Type: Developer
Is onboarding contact new to Avesdo?  No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: Townhomes and Garden Flats
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None
Related Projects/Relevant Info: Baden Park 

Client Goals/Other Information
Competitors, CRMs, other software being used? N/A
Why Buy/Challenges we are solving: None
What is client's goal from Avesdo? None
Why Avesdo? None
Red Flags/Risks/Potential Roadblocks: 

Notes
Other Special Customer-Related Notes: Booked KYC meeting for the 27th of July in case there are more questions related to this project and the fact that it has multiple sites launching on the same day.

Also, Angela said they were looking to launch ""early to mid August"". I put a launch date of August 15th to match the original Baden Park deal.",,Released,Released,19-Aug-22,,102
Strand - Alina,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $54,120
Initial Launch Date: 2022-04-08
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 246
Initial Launch Date: 2022-04-08
Onboarding Contact: Jamey Castle
First time using Avesdo? No
Competitors, CRMs, other software being used? Not sure
Current process outside Avesdo? MLA uses Avesdo. Strand has not.
Major problems we're solving? N/A
What does success mean for the client? Client needs a quick turn around on project set up. First week of April is ideal.
Additional comments: ",,Released,Released,22-Jun-22,,246
Nexus,Rashi Gupta,,Tien Sher and Stryke/Key Marketing,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $11,250.00
Province: British Columbia
# of Homes: 45
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-07-31
Sales/Marketing Company: Key Marketing

Contact Details
Onboarding Contact: Polly Cordwell

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None that I am aware of

Notes
Other Special Customer-Related Notes: Polly didn't know when this would launch, developer wasn't sure either. I put it for this month in case they want to launch right after, but my guess is it will be later.",,Onboarding Email Sent,Indefinitely Delayed,,,45
